LOC_ID,X_COORD,Y_COORD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,,LeopardRAI,SpHyRAI,HumanRAI,PreyRAI,ReserveSize,Impenetrable
Welct23,591619.2469,7310071.278,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0.083386363,-0.346600667,-0.042151127,-0.140550882,375,No
Welct24,586047.278,7308199.561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0.605428562,-0.346600667,0.124522011,0.065192944,375,No
Welct25,581302.8269,7307950.885,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,/,-0.563945962,-0.346600667,-0.168172279,0.306192435,375,No
Welct26,574469.4201,7320932.627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,-0.563945962,3.469187002,0.17947228,0.206197856,375,No
Welct27,581451.589,7305779.721,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,-0.563945962,-0.346600667,3.297409421,-0.304090846,375,No
Welct28,583977.1516,7306593.159,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,/,-0.563945962,-0.346600667,-0.231182856,-0.304090846,375,No
Welct29,577143.4288,7319691.475,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,-0.563945962,3.469187002,-0.063878912,-0.244396696,375,No
Welct30,590268.1277,7322398.824,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,1.083809048,-0.346600667,0.290086458,-0.288860961,375,No
Welct31,582398.6521,7304331.397,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,/,2.025383341,-0.346600667,-0.042151127,-0.411787896,375,No
Welct32,579857.9162,7316527.334,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,-0.563945962,2.197257779,-0.063878912,-0.35223129,375,No
Welct33,573457.7018,7318907.187,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,-0.563945962,4.264142766,0.503940535,-0.048144154,375,No
Welct34,584927.9382,7316762.462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0.083386363,-0.346600667,0.713975789,-0.26420305,375,No
Welct35,588056.3394,7315725.732,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,/,-0.563945962,-0.346600667,0.610867574,-0.248247932,375,No
Welct36,590948.0339,7316461.519,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,/,-0.014694292,-0.346600667,-0.030694658,-0.390393533,375,No
Welct37,580477.2942,7320305.191,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0.443015433,-0.346600667,0.111874727,-0.273067005,375,No
Welct38,582623.6968,7319926.331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,1.162273573,3.166346711,-0.000144076,-0.120606984,375,No
Welct39,584109.6591,7320343.897,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,/,1.633060719,0.771155317,-0.244548736,-0.397162371,375,No
Welct40,588570.6245,7320861.518,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,/,0.0207413,-0.346600667,0.921300912,-0.359933761,375,No
