Site,Year,Station,X,Y
Khamab,2016,22,23.3396,-25.55069
Khamab,2016,23,23.36863,-25.54249
Khamab,2016,24,23.29235,-25.55534
Khamab,2016,25,23.3205,-25.57844
Khamab,2016,26,23.28768,-25.579
Khamab,2016,27,23.25396,-25.55952
Khamab,2016,28,23.26309,-25.59878
Khamab,2016,29,23.27542,-25.56315
Khamab,2016,30,23.26721,-25.50941
Khamab,2016,31,23.10187,-25.57371
Khamab,2016,32,23.19803,-25.6459
Khamab,2016,33,23.16379,-25.5675
Khamab,2016,34,23.10933,-25.62608
Khamab,2016,35,23.20355,-25.61831
Khamab,2016,36,23.17641,-25.5989
Khamab,2016,37,23.07932,-25.55206
Khamab,2016,38,23.10117,-25.59513
Khamab,2016,39,23.2255,-25.62999
Khamab,2016,40,23.08905,-25.65396
Kwandwe,2017,1,26.50065338,-33.06631381
Kwandwe,2017,2,26.48278375,-33.07730299
Kwandwe,2017,3,26.52305511,-33.06582145
Kwandwe,2017,4,26.53900017,-33.07434602
Kwandwe,2017,5,26.56234193,-33.06849545
Kwandwe,2017,6,26.58776491,-33.07832575
Kwandwe,2017,7,26.58185726,-33.09493667
Kwandwe,2017,8,26.56365579,-33.09573077
Kwandwe,2017,9,26.5514856,-33.08744148
Kwandwe,2017,10,26.52942251,-33.09900072
Kwandwe,2017,11,26.52410176,-33.08711752
Kwandwe,2017,12,26.50238894,-33.10320139
Kwandwe,2017,13,26.48233088,-33.1007325
Kwandwe,2017,14,26.49869713,-33.11750293
Kwandwe,2017,15,26.52474012,-33.10792811
Kwandwe,2017,16,26.54830475,-33.1160319
Kwandwe,2017,17,26.57642721,-33.11461218
Kwandwe,2017,18,26.5966219,-33.12139314
Kwandwe,2017,19,26.58342267,-33.12830485
Kwandwe,2017,20,26.55846924,-33.12913827
Kwandwe,2017,21,26.51793561,-33.12573865
Kwandwe,2017,22,26.52641835,-33.14087913
Kwandwe,2017,23,26.49717489,-33.15061631
Kwandwe,2017,24,26.47197705,-33.12329239
Kwandwe,2017,25,26.46043123,-33.14244672
Kwandwe,2017,26,26.48837113,-33.16311389
Kwandwe,2017,27,26.52009202,-33.15539835
Kwandwe,2017,28,26.54463138,-33.16528774
Kwandwe,2017,29,26.51213793,-33.1709565
Kwandwe,2017,30,26.50761816,-33.19322596
Kwandwe,2017,31,26.49349046,-33.18101336
Kwandwe,2017,32,26.47073485,-33.18034206
Kwandwe,2017,33,26.55085897,-33.10437963
Kwandwe,2017,34,26.54419083,-33.07931271
Kwandwe,2017,35,26.45155437,-33.1842466
Kwandwe,2017,36,26.45874546,-33.19784221
Kwandwe,2017,37,26.4752273,-33.20117025
Kwandwe,2017,38,26.49030819,-33.19463773
Kwandwe,2017,39,26.49864525,-33.13293586
Kwandwe,2017,40,26.55744757,-33.15004491
KPGR,2015,1,31.54426,-27.64582
KPGR,2015,2,31.67928,-27.60698
KPGR,2015,3,31.61991,-27.63994
KPGR,2015,4,31.57535,-27.65045
KPGR,2015,5,31.57558,-27.63883
KPGR,2015,6,31.69325,-27.58945
KPGR,2015,7,31.6677,-27.58838
KPGR,2015,8,31.6716,-27.57537
KPGR,2015,9,31.71928,-27.58167
KPGR,2015,10,31.71793,-27.59784
KPGR,2015,11,31.54819,-27.61477
KPGR,2015,12,31.57972,-27.61729
KPGR,2015,13,31.6455,-27.60107
KPGR,2015,14,31.66581,-27.61817
KPGR,2015,15,31.64309,-27.6267
KPGR,2015,16,31.66162,-27.64218
KPGR,2015,17,31.61749,-27.5913
KPGR,2015,18,31.59099,-27.63033
KPGR,2015,19,31.55548,-27.6338
KPGR,2015,20,31.56236,-27.64794
KPGR,2015,21,31.61136,-27.6207
KPGR,2015,22,31.59171,-27.60436
KPGR,2015,23,31.56689,-27.60819
KPGR,2015,24,31.53307,-27.59959
KPGR,2015,25,31.64021,-27.64626
KPGR,2015,26,31.64275,-27.6658
KPGR,2015,27,31.61871,-27.66397
KPGR,2015,28,31.59152,-27.66051
KPGR,2015,29,31.60191,-27.6469
KPGR,2015,30,31.5547,-27.58536
KPGR,2015,31,31.74356,-27.57883
KPGR,2015,32,31.63124,-27.57639
KPGR,2015,33,31.60019,-27.57671
KPGR,2015,34,31.53111,-27.53793
KPGR,2015,35,31.55631,-27.52212
KPGR,2015,36,31.57476,-27.51687
KPGR,2015,37,31.61332,-27.52113
KPGR,2015,38,31.58751,-27.54445
KPGR,2015,39,31.57336,-27.54659
KPGR,2015,40,31.55114,-27.54487
KPGR,2015,41,31.5559,-27.56059
KPGR,2015,42,31.60207,-27.53209
KPGR,2015,43,31.53628,-27.5022
KPGR,2015,44,31.6405,-27.67943
KPGR,2015,45,31.70385,-27.64756
KPGR,2015,46,31.69081,-27.63227
KPGR,2015,47,31.68244,-27.6284
KPGR,2015,48,31.66795,-27.63402
KPGR,2015,49,31.66739,-27.65542
KPGR,2015,50,31.6703,-27.66322
KPGR,2015,51,31.68386,-27.65011
KPGR,2015,52,31.68179,-27.66195
KPGR,2015,53,31.67848,-27.66979
KPGR,2015,54,31.68076,-27.68195
KPGR,2015,55,31.65785,-27.6708
KPGR,2015,56,31.66741,-27.67575
KPGR,2015,57,31.69895,-27.68631
KPGR,2015,58,31.71065,-27.66957
KPGR,2015,59,31.71498,-27.70188
KPGR,2015,60,31.66819,-27.70844
KPGR,2015,61,31.63795,-27.69566
KPGR,2015,62,31.64486,-27.68764
Lapalala,2016,1,28.334604,-23.907664
Lapalala,2016,2,28.341425,-23.920037
Lapalala,2016,3,28.392382,-23.88601
Lapalala,2016,4,28.365535,-23.932995
Lapalala,2016,5,28.393152,-23.911603
Lapalala,2016,6,28.333886,-23.735257
Lapalala,2016,7,28.258733,-23.914562
Lapalala,2016,8,28.265144,-23.891756
Lapalala,2016,9,28.292062,-23.91691
Lapalala,2016,10,28.222663,-23.887285
Lapalala,2016,11,28.275167,-23.770769
Lapalala,2016,12,28.313127,-23.795818
Lapalala,2016,13,28.371267,-23.732334
Lapalala,2016,14,28.336148,-23.719675
Lapalala,2016,15,28.302172,-23.763186
Lapalala,2016,16,28.351141,-23.792761
Lapalala,2016,17,28.381254,-23.764926
Lapalala,2016,18,28.315234,-23.778556
Lapalala,2016,19,28.283275,-23.811472
Lapalala,2016,20,28.292734,-23.832448
