TrapID	x	y		LeopardRAI	SpHyRAI	HumanRAI
Pilct37	504918.5715	7199515.572	/	0.740740741	0	5.185185185
Pilct38	504710.6996	7197967.591	/	0.740740741	0	3.703703704
Pilct39	516128.8576	7203142.205	/	2.962962963	0	8.888888889
Pilct40	510888.494	7199012.664	/	0	0	5.303030303
Sonct1	890519.3473	7115882.63	/	0	0	82.22222222
Sonct2	892597.2754	7114711.352	/	0	0	31.11111111
Sonct3	895486.425	7114674.046	/	0	0	18.88888889
Sonct4	899048.3696	7116070.932	/	0	0	8.823529412
Sonct5	891711.1548	7117498.654	/	0	0	22.22222222
Sonct6	893902.7885	7116930.991	/	0	0	73.33333333
Sonct7	897067.6333	7115551.852	/	0	0	64.44444444
Sonct8	894490.1021	7117679.212	/	0	0	11.11111111
Sonct9	896352.3929	7117497.395	/	0	0	8.148148148
Sonct10	895485.5709	7119183.248	/	0	0	11.11111111
Sonct11	893971.3713	7118839.345	/	0	0	4.268292683
Sonct12	892317.5561	7117884.509	/	0	0	19.25925926
Sonct13	892946.6216	7120725.09	/	0	0	14.07407407
Sonct14	892071.7453	7123571.941	/	0	0	7.777777778
Sonct15	896184.048	7120846.103	/	0	0	4.444444444
Sonct16	898501.2237	7120067.448	/	0	0	6.201550388
Sonct17	900131.3996	7121468.618	/	1.111111111	0	6.666666667
Sonct18	899667.0059	7113836.152	/	0	0	232.4074074
Sonct19	906296.8687	7118266.538	/	0	0	136.3636364
Sonct20	905358.1322	7120219.701	/	0	0	29.05405405
Sonct21	901362.4292	7123063.95	/	0	0	2.962962963
Sonct22	895879.3757	7122184.1	/	0	0	6.666666667
Sonct23	897138.2473	7118302.775	/	0	0	3.846153846
Sonct24	903242.1033	7119609.021	/	0	0	25
Sonct25	901320.4942	7121271.222	/	0	0	5.555555556
Sonct26	899581.5471	7116711.828	/	0	0	7.777777778
Sonct27	892571.0706	7121717.645	/	0	0	18.88888889
Venct1	731905.7861	7534701.04	/	7.5	1.25	8.75
Venct2	733028.6545	7534089.399	/	0	0	8.163265306
Venct3	736548.6345	7536209.772	/	0	2.040816327	9.183673469
Venct4	739261.8236	7534483.35	/	6.12244898	1.020408163	13.26530612
Venct5	743078.4497	7534265.786	/	0	0.680272109	12.24489796
Venct6	741836.1834	7532616.744	/	2.040816327	6.12244898	11.2244898
Venct7	739628.7961	7532604.387	/	0	2.040816327	7.142857143
Venct8	736875.157	7533070.862	/	7.142857143	1.020408163	8.163265306
Venct9	729283.9572	7531899.64	/	3.06122449	1.020408163	4.081632653
Venct10	732487.684	7530729.89	/	1.020408163	0	8.163265306
Venct11	729665.8432	7529074.791	/	1.020408163	0	8.163265306
Venct12	732562.9103	7530728.764	/	0.680272109	0.680272109	7.482993197
Venct13	735100.8514	7529860.836	/	0	3.06122449	6.12244898
Venct14	738739.4826	7530345.944	/	6.12244898	1.020408163	7.142857143
Venct15	741792.0045	7529909.881	/	1.020408163	1.020408163	7.142857143
Venct16	741277.8364	7527931.529	/	1.020408163	0	8.163265306
Venct17	737945.8666	7528802.757	/	0	2.040816327	10.20408163
Venct18	734088.194	7527570.841	/	0	0	4.385964912
Venct19	731334.1701	7527884.658	/	0	1.020408163	6.12244898
Venct20	728224.0424	7526692.26	/	2.040816327	5.102040816	10.20408163
Venct21	732987.837	7525735.204	/	2.040816327	0.680272109	6.802721088
Venct22	736081.8967	7526326.486	/	0	2.040816327	11.2244898
Venct23	737533.4838	7525295.103	/	6.12244898	1.020408163	7.142857143
Venct24	739734.3446	7527220.963	/	9.183673469	0	13.26530612
Venct25	743282.6074	7526170.871	/	1.020408163	1.020408163	7.142857143
Venct26	742299.2987	7524114.593	/	0	1.020408163	7.142857143
Venct27	739694.5949	7523584.58	/	7.142857143	0	8.163265306
Venct28	734728.3084	7524518.074	/	0	0.680272109	6.12244898
Venct29	728672.8626	7523659.289	/	2.040816327	1.020408163	8.163265306
Venct30	732072.5845	7523722.82	/	1.020408163	4.081632653	12.24489796
Venct31	735431.992	7522414.768	/	0	2.040816327	8.163265306
Venct32	741091.6652	7522192.496	/	2.325581395	0	6.201550388
Venct33	743831.2926	7522336.81	/	1.020408163	2.040816327	8.163265306
Venct35	731779.9606	7520900.167	/	0	0	12.24489796
Venct36	737847.5135	7520986.421	/	0	5.102040816	7.142857143
Venct37	741152.8958	7519379.832	/	13.26530612	0	20.40816327
Venct38	743693.6233	7517785.651	/	0	1.020408163	7.142857143
Venct39	734750.4453	7516475.136	/	1.360544218	0	4.761904762
Venct40	733315.8021	7513197.875	/	0	0	6.12244898
Welct1	576823.2671	7316450.014	/	0	3.571428571	14.28571429
Welct2	589892.5223	7320341.624	/	0	0	14.1025641
Welct3	587966.7967	7319286.268	/	1.162790698	0	6.976744186
