LOC_ID,X_COORD,Y_COORD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,,LeopardRAI,SpHyRAI,HumanRAI,PreyRAI,ReserveSize,Impenetrable
Athct24,473749.3435,7298551.378,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.344245294,-0.346600667,-0.372861182,1.243603994,240,No
Athct25,482619.4299,7283149.383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.322275227,-0.346600667,-0.389969508,-0.310791996,240,No
Athct26,482361.6643,7292426.46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.317343172,-0.346600667,0.575952622,-0.29231445,240,No
Athct27,471066.2226,7294492.584,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.301260381,-0.346600667,-0.263144742,4.099406235,240,No
Athct28,470129.3,7298056.971,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,/,-0.142427239,-0.346600667,-0.261955463,0.075121504,240,No
Athct29,467533.8058,7296034.962,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.317343172,-0.346600667,-0.336200483,-0.316627011,240,No
Athct30,475632.6513,7294594.269,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.375140701,-0.346600667,-0.451719873,-0.312234605,240,No
Athct31,478257.979,7294937.393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.317343172,-0.346600667,-0.384208541,-0.129724195,240,No
Athct32,479611.1715,7293405.935,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.563945962,-0.346600667,-0.336200483,-0.230013511,240,No
Athct33,477504.4907,7297129.593,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.563945962,-0.346600667,-0.334412949,-0.143690985,240,No
Athct34,475449.531,7296730.875,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.378045397,-0.346600667,-0.38273137,-0.295213255,240,No
Athct35,472500.0699,7296138.581,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.563945962,-0.346600667,-0.231182856,0.20159777,240,No
Athct38,476752.2639,7284989.915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,0.17586241,-0.346600667,-0.288192425,-0.205700949,240,No
Athct39,469163.9172,7290833.581,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,0.17586241,-0.346600667,-0.336200483,-0.076540466,240,No
Athct40,478782.9317,7284265.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,/,-0.317343172,-0.346600667,-0.096160192,-0.192025133,240,No
